[MODEL RESULTS] EFTNeg
op 	 best var 	 1 sigma 	 2 sigma
cll1 	  mjj_met_mjj_mjj_deltaetajj_mjjnomax_mjj 	 [-0.037,0.037] 	 [-0.072,0.073]
cHq3 	  deltaphijj_ptl2_ptl1_mll_etaj2_mjjmax_ptl2 	 [-0.044,0.040] 	 [-0.089,0.076]
cHl3 	  deltaetajj_met_mjj_mjj_deltaetajj_mjjnomax_mjj 	 [-0.045,0.044] 	 [-0.089,0.086]
cW 	  ptll_met_ptl1_mll_ptl2_mWZ 	 [-0.062,0.066] 	 [-0.090,0.094]
cHWB 	  ptj1_met_deltaetajj_mll_deltaetajj_mjjnomax_mWZ 	 [-0.072,0.070] 	 [-0.143,0.136]
cHq1 	  ptj1_met_ptj1_mll_ptj2_mjjnomax_ptj1 	 [-0.138,0.101] 	 [-0.189,0.151]
cHl1 	  mll_met_ptemuminus_met_deltaetajj_mjjnomax_mWZ 	 [-0.154,0.155] 	 [-0.302,0.304]
cHbox 	  mll_met_deltaetajj_mll_ptj2_mjjnomax_mWZ 	 [-0.179,0.190] 	 [-0.341,0.382]
cHDD 	  mll_met_ptemuplus_deltaetajj_ptl2_deltaetajj 	 [-0.365,0.367] 	 [-0.710,0.719]
cHW 	  mll_met_m4l_mll_ptj2_mjjnomax_mWZ 	 [-0.576,0.646] 	 [-0.853,0.927]


