[MODEL RESULTS] EFTNeg
op 	 best var 	 1 sigma 	 2 sigma
cll1 	  mjj_met_mjj_mjj_deltaetajj_mjjnomax_mjj 	 [-0.023,0.023] 	 [-0.044,0.044]
cHq3 	  deltaphijj_ptl2_ptl1_mll_etaj2_mjjmax_ptl2 	 [-0.029,0.027] 	 [-0.058,0.051]
cHl3 	  deltaetajj_met_mjj_mjj_deltaetajj_mjjnomax_mjj 	 [-0.029,0.029] 	 [-0.058,0.056]
cHWB 	  ptj1_met_deltaetajj_mll_deltaetajj_mjjnomax_mWZ 	 [-0.041,0.041] 	 [-0.082,0.080]
cW 	  ptll_met_ptl1_mll_ptl2_mWZ 	 [-0.045,0.050] 	 [-0.066,0.070]
cHl1 	  mll_met_ptemuminus_met_deltaetajj_mjjnomax_mWZ 	 [-0.089,0.089] 	 [-0.175,0.175]
cHbox 	  mll_met_deltaetajj_mll_ptj2_mjjnomax_mWZ 	 [-0.105,0.108] 	 [-0.202,0.216]
cHq1 	  ptj1_met_ptj1_mll_ptj2_mjjnomax_ptj1 	 [-0.108,0.072] 	 [-0.146,0.109]
cHDD 	  mll_met_ptemuplus_deltaetajj_ptl2_deltaetajj 	 [-0.211,0.212] 	 [-0.413,0.416]
cHW 	  mll_met_m4l_mll_ptj2_mjjnomax_mWZ 	 [-0.412,0.475] 	 [-0.620,0.690]


