[MODEL RESULTS] EFTNeg
op 	 best var 	 1 sigma 	 2 sigma
cll1 	  mjj_met_mjj_mjj_deltaetajj_mjjnomax_mjj 	 [-0.036,0.037] 	 [-0.071,0.072]
cHq3 	  deltaphijj_ptl2_deltaphijj_mll_etaj2_mjjmax_deltaphijj 	 [-0.041,0.042] 	 [-0.080,0.083]
cHl3 	  deltaetajj_met_mjj_mjj_deltaetajj_mjjnomax_mjj 	 [-0.045,0.044] 	 [-0.089,0.085]
cHWB 	  ptj1_ptl2_mmumu_deltaetajj_deltaetajj_mjjnomax_mee 	 [-0.072,0.070] 	 [-0.143,0.136]
cHl1 	  etal1_ptl2_ptemuminus_etal1_deltaetajj_mjjnomax_mee 	 [-0.153,0.155] 	 [-0.297,0.307]
cW 	  deltaphijj_met_deltaphijj_deltaphijj_ptl2_ptl2 	 [-0.165,0.167] 	 [-0.321,0.329]
cHbox 	  ptj1_met_etal1_mll_ptj2_mjjmax_etal1 	 [-0.176,0.189] 	 [-0.333,0.382]
cHq1 	  ptj1_met_mjj_mjj_ptj2_mjjnomax_mjj 	 [-0.263,0.267] 	 [-0.509,0.526]
cHDD 	  ptj1_met_ptemuplus_deltaetajj_ptl2_mee 	 [-0.364,0.364] 	 [-0.713,0.712]
cHW 	  deltaphijj_mll_mjj_deltaphijj_mjj_max_etal1 	 [-0.804,0.805] 	 [-1.576,1.577]


